Face 105 :  | Normal(0,0,0) | Point[(1.18491,1.23114,2.688),(1.13238,1.26475,2.688),(1.17173,1.34346,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 106 :  | Normal(0,0,0) | Point[(1.23988,1.29985,2.352),(1.27986,1.34983,1.944),(1.20035,1.4007,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 107 :  | Normal(0,0,0) | Point[(1.23988,1.29985,2.352),(1.17173,1.34346,2.352),(1.20035,1.4007,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 108 :  | Normal(0,0,0) | Point[(1.27986,1.34983,1.944),(1.31235,1.39043,1.5),(1.22361,1.44721,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 109 :  | Normal(0,0,0) | Point[(1.27986,1.34983,1.944),(1.20035,1.4007,1.944),(1.22361,1.44721,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 110 :  | Normal(0,0,0) | Point[(1.31235,1.39043,1.5),(1.34483,1.43104,1.056),(1.24686,1.49372,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 111 :  | Normal(0,0,0) | Point[(1.31235,1.39043,1.5),(1.22361,1.44721,1.5),(1.24686,1.49372,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 112 :  | Normal(0,0,0) | Point[(1.34483,1.43104,1.056),(1.38481,1.48102,0.648),(1.27548,1.55097,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 113 :  | Normal(0,0,0) | Point[(1.34483,1.43104,1.056),(1.24686,1.49372,1.056),(1.27548,1.55097,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 114 :  | Normal(0,0,0) | Point[(1.38481,1.48102,0.648),(1.43979,1.54973,0.312),(1.31484,1.62968,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 115 :  | Normal(0,0,0) | Point[(1.38481,1.48102,0.648),(1.27548,1.55097,0.648),(1.31484,1.62968,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 116 :  | Normal(0,0,0) | Point[(1.43979,1.54973,0.312),(1.51725,1.64656,0.084),(1.37029,1.74059,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 117 :  | Normal(0,0,0) | Point[(1.43979,1.54973,0.312),(1.31484,1.62968,0.312),(1.37029,1.74059,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 118 :  | Normal(0,0,0) | Point[(1.51725,1.64656,0.084),(1.6247,1.78087,0),(1.44721,1.89443,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 119 :  | Normal(0,0,0) | Point[(1.51725,1.64656,0.084),(1.37029,1.74059,0.084),(1.44721,1.89443,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 120 :  | Normal(0,0,0) | Point[(1,1,3),(1.07692,1.15384,2.916),(1.04725,1.16538,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 121 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.04725,1.16538,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 122 :  | Normal(0,0,0) | Point[(1.07692,1.15384,2.916),(1.13238,1.26475,2.688),(1.08132,1.28461,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 123 :  | Normal(0,0,0) | Point[(1.07692,1.15384,2.916),(1.04725,1.16538,2.916),(1.08132,1.28461,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 124 :  | Normal(0,0,0) | Point[(1.13238,1.26475,2.688),(1.17173,1.34346,2.352),(1.10549,1.36923,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 125 :  | Normal(0,0,0) | Point[(1.13238,1.26475,2.688),(1.08132,1.28461,2.688),(1.10549,1.36923,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 126 :  | Normal(0,0,0) | Point[(1.17173,1.34346,2.352),(1.20035,1.4007,1.944),(1.12308,1.43076,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 127 :  | Normal(0,0,0) | Point[(1.17173,1.34346,2.352),(1.10549,1.36923,2.352),(1.12308,1.43076,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 128 :  | Normal(0,0,0) | Point[(1.20035,1.4007,1.944),(1.22361,1.44721,1.5),(1.13736,1.48076,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
